package_code,specialty,package_name,government_rate_inr,mandatory_documents
S1A5.1,General Surgery,Laparoscopic Appendectomy,25000,"[""USG_Abdomen"",""Blood_Profile""]"
S1A5.2,General Surgery,Open Appendectomy,15000,"[""USG_Abdomen"",""Blood_Profile""]"
S1A11.1,General Surgery,Laparoscopic Cholecystectomy,28000,"[""USG_Abdomen"",""Pre_Op_Photo""]"
S1A11.2,General Surgery,Open Cholecystectomy,20000,"[""USG_Abdomen"",""Pre_Op_Photo""]"
S1A12.1,General Surgery,Mesh Hernioplasty for Inguinal Hernia,18000,"[""Clinical_Photo"",""USG_Groin""]"
S1A12.3,General Surgery,Laparoscopic IPOM for Incisional Hernia,35000,"[""Clinical_Photo"",""CT_Abdomen""]"
S1A12.5,General Surgery,Umbilical Hernia Mesh Repair,15000,"[""Clinical_Photo""]"
S2B1.1,Urology,URSL for Ureteric Calculus,22000,"[""CT_KUB"",""Pre_Op_Xray""]"
S2B1.2,Urology,PCNL for Renal Calculus,30000,"[""CT_KUB"",""Pre_Op_Xray""]"
S2B1.4,Urology,Cystolithotripsy (CLT) for Bladder Stone,18000,"[""USG_KUB""]"
S2B2.1,Urology,TURP for Benign Prostatic Hyperplasia,25000,"[""USG_KUB"",""PSA_Report""]"
S2B3.1,Urology,Optical Internal Urethrotomy (OIU) for Stricture,15000,"[""RGU_MCU_Xray""]"
S3C1.1,Obstetrics & Gynecology,Total Laparoscopic Hysterectomy (TLH),35000,"[""USG_Pelvis"",""Pap_Smear""]"
S3C1.2,Obstetrics & Gynecology,Vaginal Hysterectomy with Pelvic Floor Repair,28000,"[""USG_Pelvis"",""Clinical_Photo""]"
S3C1.3,Obstetrics & Gynecology,Abdominal Hysterectomy,25000,"[""USG_Pelvis"",""Pap_Smear""]"
S3C2.1,Obstetrics & Gynecology,Laparoscopic Ovarian Cystectomy,20000,"[""USG_Pelvis"",""CA_125_Report""]"
S3C3.1,Obstetrics & Gynecology,Emergency Laparotomy for Ruptured Ectopic,30000,"[""UPT_Report"",""USG_Pelvis""]"
S4D1.1,Ophthalmology,Phacoemulsification with Foldable IOL,12000,"[""A_Scan_Biometry"",""Fundus_Photo""]"
S4D1.2,Ophthalmology,SICS with Rigid IOL,8000,"[""A_Scan_Biometry""]"
S4D2.1,Ophthalmology,Trabeculectomy for Glaucoma,15000,"[""Perimetry_Report"",""IOP_Record""]"
S4D3.1,Ophthalmology,Pars Plana Vitrectomy,25000,"[""B_Scan"",""OCT_Macula""]"
S5E1.1,Orthopedics,Total Knee Replacement (TKR) Unilateral,65000,"[""Xray_Knee_Bilateral"",""Pre_Op_Photo""]"
S5E2.1,Orthopedics,Bipolar Hemiarthroplasty for Neck Femur Fracture,45000,"[""Xray_Pelvis"",""Pre_Op_Photo""]"
S5E3.1,Orthopedics,Closed Intramedullary Nailing for Femur Shaft,35000,"[""Xray_Thigh""]"
S5E4.1,Orthopedics,ORIF with Plating for Radius Ulna Fracture,25000,"[""Xray_Forearm""]"
S6F1.1,Cardiology,Coronary Angiography (CAG),10000,"[""ECG"",""2D_Echo""]"
S6F2.1,Cardiology,PTCA with Single Stent (Angioplasty),65000,"[""Coronary_Angiography_CD"",""ECG""]"
S6F3.1,Cardiology,CABG (Coronary Artery Bypass Grafting),110000,"[""Coronary_Angiography_CD"",""2D_Echo""]"
S6F4.1,Cardiology,Balloon Mitral Valvotomy (BMV),50000,"[""2D_Echo"",""ECG""]"
S7G1.1,ENT,Bilateral Tonsillectomy,15000,"[""ENT_Endoscopy""]"
S7G2.1,ENT,Septoplasty for DNS,18000,"[""CT_PNS""]"
S7G3.1,ENT,Tympanoplasty for CSOM,20000,"[""PTA_Audiometry"",""Otoscopy_Photo""]"
S7G4.1,ENT,FESS (Functional Endoscopic Sinus Surgery),25000,"[""CT_PNS""]"
S7G5.1,ENT,Microlaryngeal Surgery (MLS) for Vocal Cord Polyp,18000,"[""Video_Laryngoscopy""]"
S8H1.1,Oncology Surgery,Modified Radical Mastectomy (MRM),40000,"[""Biopsy_Report"",""Mammography""]"
S8H2.1,Oncology Surgery,Hemithyroidectomy,25000,"[""FNAC_Report"",""USG_Neck""]"
S9I1.1,Gastroenterology,ERCP with CBD Stenting,25000,"[""MRCP_Report"",""LFT""]"
S10J1.1,General Surgery,Eversion of Sac for Primary Hydrocele,10000,"[""USG_Scrotum""]"
S10J2.1,General Surgery,Circumcision for Phimosis,8000,"[""Clinical_Photo""]"
S11K1.1,General Surgery,Debridement and Amputation for Diabetic Foot,20000,"[""Clinical_Photo"",""Doppler_Study""]"
